"Observation station","Year","Month","Day","Time [Local time]","Precipitation amount [mm]","Minimum temperature [°C]","Maximum temperature [°C]","Minimum ground temperature [°C]","Average temperature [°C]","Snow depth [cm]"
"Helsinki Kaisaniemi","2025","2","23","02:00","-1","-0.6","2","-","0.6","6"
"Helsinki Kaisaniemi","2025","2","23","08:00","-","-","-","-1.8","-","-"
"Helsinki Kaisaniemi","2025","2","24","02:00","-1","1.3","3","-","1.8","4"
"Helsinki Kaisaniemi","2025","2","24","08:00","-","-","-","0.7","-","-"
"Helsinki Kaisaniemi","2025","2","25","02:00","1.2","1","2.9","-","1.8","2"
"Helsinki Kaisaniemi","2025","2","25","08:00","-","-","-","0.7","-","-"
"Helsinki Kaisaniemi","2025","2","26","02:00","1.7","0.6","2.9","-","1.6","-1"
"Helsinki Kaisaniemi","2025","2","26","08:00","-","-","-","0","-","-"
"Helsinki Kaisaniemi","2025","2","27","02:00","0.4","0.7","2.4","-","1.6","-1"
"Helsinki Kaisaniemi","2025","2","27","08:00","-","-","-","0.3","-","-"
"Helsinki Kaisaniemi","2025","2","28","02:00","-1","1.1","4.3","-","2","-1"
"Helsinki Kaisaniemi","2025","2","28","08:00","-","-","-","-0.2","-","-"
"Helsinki Kaisaniemi","2025","3","1","02:00","0.1","-0.6","2","-","0.8","-1"
"Helsinki Kaisaniemi","2025","3","1","08:00","-","-","-","-0.6","-","-"
"Helsinki Kaisaniemi","2025","3","2","02:00","-1","0.7","2.3","-","1.3","-1"
"Helsinki Kaisaniemi","2025","3","2","08:00","-","-","-","0.5","-","-"
"Helsinki Kaisaniemi","2025","3","3","02:00","0.5","0.3","4.7","-","3","-1"
"Helsinki Kaisaniemi","2025","3","3","08:00","-","-","-","-3.2","-","-"
"Helsinki Kaisaniemi","2025","3","4","02:00","2.1","2.1","5.8","-","3.4","-1"
"Helsinki Kaisaniemi","2025","3","4","08:00","-","-","-","0.9","-","-"
"Helsinki Kaisaniemi","2025","3","5","02:00","0.2","0.7","6.8","-","4.1","-1"
"Helsinki Kaisaniemi","2025","3","5","08:00","-","-","-","-0.9","-","-"
"Helsinki Kaisaniemi","2025","3","6","02:00","-1","3.7","9.4","-","5.2","-1"
"Helsinki Kaisaniemi","2025","3","6","08:00","-","-","-","3.3","-","-"
"Helsinki Kaisaniemi","2025","3","7","02:00","-1","2.6","6.5","-","4.6","-1"
"Helsinki Kaisaniemi","2025","3","7","08:00","-","-","-","0.2","-","-"
"Helsinki Kaisaniemi","2025","3","8","02:00","-1","2.7","10.5","-","5.7","-1"
"Helsinki Kaisaniemi","2025","3","8","08:00","-","-","-","1.2","-","-"
"Helsinki Kaisaniemi","2025","3","9","02:00","-1","-0.2","6.5","-","2.9","-1"
"Helsinki Kaisaniemi","2025","3","9","08:00","-","-","-","-2.9","-","-"
"Helsinki Kaisaniemi","2025","3","10","02:00","-1","2","5.7","-","3.5","-1"
"Helsinki Kaisaniemi","2025","3","10","08:00","-","-","-","0","-","-"
